,similarity_scores_85
Non-smoking rooms and areas,"['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms', 'All Public and Private spaces non-smoking']"
Snooker Table,"['Pool / Snooker Table', 'Snooker Table']"
Gaming machines,['Gaming machines']
WiFi,"['Internet / Wifi', 'Wifi Enabled', 'Wifi EnabledFireplace', 'WiFi', 'WiFi Internet']"
Handicraft shop,['Handicraft shop']
Wireless Internet access (surcharge),"['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access (surcharge)', 'Chargeable WiFi Internet Connectivity', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Fax/photocopying,"['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']"
Event catering,['Event catering']
Fitness centre (men only),"['Health and fitness centre', 'Fitness centre (men only)']"
AC / Heater,"['AC/Heater', 'AC / Heater']"
Internet access-surcharge,"['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access (surcharge)', 'Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Dressing Room,['Dressing Room']
Opaque curtains to provide total blackout,['Opaque curtains to provide total blackout']
Outdoor Activities,"['Outdoor activities', 'Outdoor Activities']"
Game Room,"['Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']"
In-room safe,"['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Breakfast in the room', 'In room safe', 'Sofa in the room', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'In-room safe']"
Airport Shuttle (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Shuttle Service (surcharge)', 'Airport transportation (complimentary)', 'Airport Shuttle (free)', 'Cruise terminal shuttle (surcharge)', 'Airport transportation (surcharge)', 'Airport Shuttle', 'Airport transportation - drop-off (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']"
Skating rink,"['Ice skating', 'Skating rink']"
Cold plunge pool,"['Plunge pool', 'Plunge Pool', 'Cold plunge pool']"
Trouser press,"['Trouser Press', 'Trouser press']"
Safe Deposit Locker,"['Safety Deposit Lockers', 'Safe Deposit Locker']"
LCD TV with Set,"[""32'' LCD Flat-screen TV"", 'LCD TV', 'LCD television with multi channel cable', 'LCD TV with Set', ""40'' LCD Flat screen TV""]"
Indoor pool (all year),"['Outdoor Swimming Pool (all year)', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - indoor', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)']"
Outdoor tennis court,"['Tennis Courts', 'Tennis Court', 'Outdoor tennis court', 'Volleyball Court']"
No smoking rooms,"['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms']"
Recreation,['Recreation']
Supervised childcare/activities (surcharge),"['Supervised childcare/activities (free)', 'Supervised childcare/activities', 'Supervised childcare/activities (surcharge)']"
Children's Play Area,"[""Children's pool"", ""Children's play area"", ""Children's club"", 'Kids Play Area', ""Children's Play Area""]"
Use of nearby fitness center (discount),"['Use of nearby fitness center (discount)', 'Use of nearby fitness center (complimentary)']"
1 lift,['1 lift']
Family rooms,"['Family Rooms', 'Family rooms']"
Room Size:30 sq m(323 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Guide Service,['Guide Service']
Room Size:60 sq m(646 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Airport Transfer,"['Complimentary Airport/Railway Station Transfer', 'Airport/Rlwy Stn Transfer', 'Complimentary Airport/railway Station Transfer', 'Airport Transfer', 'Airport/Railway Station Transfer', 'Airport transfer (complimentary)']"
Wi-Fi/Wireless LANMinibar,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi/Wireless LANBathroom Toiletries', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi']"
Room cleaning service,"['Laundry Service Same Day', 'Room Service', 'Laundry Service', 'Shoe cleaning service', 'Dry cleaning/laundry service', 'Room service', 'Dry Cleaning Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room cleaning service']"
Swimming (nearby),"['Beach Nearby', 'Tennis (nearby)', 'Swimming (nearby)']"
Music classes,['Music classes']
Religious facilities,['Religious facilities']
Computer rental,['Computer rental']
Patio-Property,['Patio-Property']
Auditorium,['Auditorium']
Financial centre,"['Business Centre', 'Business centre', 'Financial centre']"
Ironing Service,"['Laundry Service', 'Ironing service', 'Ironing Service']"
Full-sized refrigerator/freezer,"['Refrigerator', 'Full-sized refrigerator/freezer']"
Medical assistance available,"['On-site medical assistance available', 'Medical services', 'Medical assistance available']"
Iron/ironing board(on request),"['Iron/ironing board', 'Iron/ironing board (on request)', 'Ironing Board', 'Iron/ironing board(on request)']"
Water view,['Water view']
Restaurant (buffet),"['Breakfast Buffet', 'Restaurant', 'Restaurant/Bar', 'Breakfast buffet', 'Restaurant (buffet)']"
Satellite television,"['Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Satellite Television', 'Television', 'Satellite television', 'Satellite TV']"
Extra Bed (On Request),"['Extra Mattress (On Request)', 'Extra Bed (On Request)']"
Hydrotherapy,['Hydrotherapy']
Internet access-complimentary,"['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access (on request)', 'Internet access-dial-up', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Express check-in,"['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']"
Airport transportation - pickup (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation', 'Airport transportation (surcharge)', 'Train station pickup (surcharge)', 'Airport transportation - drop-off (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']"
Internet/Wi-Fi,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']"
TVDaily Newspaper,"['Daily Newspaper', 'Newspaper', 'TVDaily Newspaper']"
Ceiling Fan,"['Ceiling fan', 'Ceiling Fan']"
Car Hire,"['Car rental', 'Car Hire', 'Vehicle hire']"
Shops,"['Shops (nearby)', 'Shops']"
Translation service,['Translation service']
Club Lounge Access,"['Access to Business Club Lounge', 'Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']"
Parking limited (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Long-term parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Electronic/magnetic keys,['Electronic/magnetic keys']
Shopping on site,['Shopping on site']
Free Wi Fi*,"['Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Free Wi-Fi Icon', 'Internet/Wi-Fi', 'Free Wi Fi*']"
Wake-up calls,"['Wake up call', 'Wake-up calls', 'Automatic wake-up call']"
Basketball,"['Basketball Court', 'Basketball']"
Wedding chapel,['Wedding chapel']
One meeting/conference room,"['Meeting room', 'Conference room(s)', 'Meeting room(s) small groups', 'One meeting/conference room']"
Sofa,"['Sofa bed', 'Sofa']"
Airport/Railway Station Transfer,"['Complimentary Airport/Railway Station Transfer', 'Airport/Rlwy Stn Transfer', 'Complimentary Airport/railway Station Transfer', 'Railway Station Transfer', 'Airport Transfer', 'Airport/Railway Station Transfer']"
Phone,"['Cell phone/mobile rental', 'Phone']"
Technology helpdesk,['Technology helpdesk']
Airport transfer (complimentary),"['Complimentary Airport/Railway Station Transfer', 'Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Complimentary Airport/railway Station Transfer', 'Airport transportation (complimentary)', 'Airport Transfer', 'Airport transfer (complimentary)']"
Room service(limited hours),"['Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service', 'Room Service, 24 Hour Reception', '24-hr Room Service', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Front desk (limited hours)', 'Room service(limited hours)', '24-hour Room Service']"
Full-length mirror,['Full-length mirror']
Wheelchairs available,['Wheelchairs available']
Firplace in lobby,"['Lobby in the guest house', 'Fireplace in lobby', 'Television in lobby', 'Firplace in lobby']"
Tour assistance,"['Tours/ticket assistance', 'Tour assistance']"
Automatic wake-up call,"['Wake up call', 'Automatic telephone wake-up call service', 'Wake-up calls', 'Automatic wake-up call']"
Complimentary Breakfast,"['Breakfast Buffet', 'Breakfast buffet', 'breakfast', 'Complimentary Breakfast']"
Fruit Basket,['Fruit Basket']
Room Size: 15 sq m (160 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Speedboats,['Speedboats']
Refrigerator (on request),"['Microwave (on request)', 'Refrigerator (on request)']"
Continental breakfast,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast buffet', 'breakfast', 'Continental breakfast']"
Car rental facilities,"['Car Rental Facility', 'Car rental', 'Car rental facilities']"
Large Screen Television,"['Flat screen color television with multi-channel cable', 'Large Screen Television']"
Bingo,['Bingo']
Handicap Facilities,['Handicap Facilities']
Snack bar/deli,"['Snack Bar', 'Snack bar/deli']"
Number of buildings/towers -,['Number of buildings/towers -']
"A/C , Heater on request","['A/C , Heater on request']"
Train station pickup (complimentary),"['Complimentary Airport/Railway Station Transfer', 'Complimentary Airport/railway Station Transfer', 'Train station pickup (surcharge)', 'Train station pickup (complimentary)']"
Number of restaurants -,['Number of restaurants -']
Aerobics (nearby),['Aerobics (nearby)']
Chargeable Wi Fi Internet Connectivity,"['Hi-speed Wi-Fi net access (Chargeable', 'Wi-Fi Internet access', 'Chargeable WiFi Internet Connectivity', 'Wi Fi Internet', 'Wi-Fi Internet', 'Internet/Wi-Fi', 'Chargeable Wi Fi Internet Connectivity']"
Beach bar,['Beach bar']
Hairdresser (on request),['Hairdresser (on request)']
Sofa bed size,"['Sofa bed', 'Sofa bed size']"
Outdoor pool (seasonal),"['Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Outdoor pool (seasonal)']"
Video games room,"['Games Room', 'Video Games', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']"
Room Size:66 sq m(709 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Scuba Diving Facility,"['Diving', 'Scuba Diving Facility']"
Indoor Multi Cuisine Restaurant,"['Indoor Restaurant', 'Indoor Multi Cuisine Restaurant']"
Vehicle hire,"['Car Hire', 'Vehicle hire']"
40'' LCD Flat screen TV,"[""32'' LCD Flat-screen TV"", 'LCD TV', ""22'' LCD TV"", 'Flat-panel TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]"
Bicycles available (free),['Bicycles available (free)']
Facilities for the physically-challenged,['Facilities for the physically-challenged']
Business Club Lounge Access,"['Access to Business Club Lounge', 'Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']"
Lake view,"['River view', 'Lake view']"
Shwoer Area,['Shwoer Area']
24-hour Room Service,"['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service', '24-Hour Front Desk', 'Room Service, 24 Hour Reception', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', '24 hour concierge', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', 'Room service(limited hours)', '24-hour Room Service']"
Elevator,"['Lift / Elevator', 'Lift/elevator', 'Elevator/lift', 'Elevator']"
Horse riding,"['Horse Riding', 'Horse riding (nearby)', 'Horse riding']"
WiFi at a charge,"['Wifi At A Charge', 'WiFi at a charge']"
Satellite TV,"['Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Satellite Television', 'TV', 'Satellite television', 'Satellite TV']"
Tea Lounge,['Tea Lounge']
Cordless phone,"['Cordless Telephone', 'Cordless phone']"
Air conditioning,"['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air Conditioned', 'Air conditioning']"
Jeep safari,"['Safari', 'Jeep safari']"
Fitness facilities,"['Health or fitness facilities', 'Fitness facilities']"
All Public and Private spaces non-smoking,"['Non-smoking rooms and areas', 'All Public and Private spaces non-smoking']"
